SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining
1,25,5,20.00%,100.00%,False,0
2,25,55,120.00%,100.00%,False,0
3,25,0,80.00%,66.67%,False,0
4,25,0,60.00%,50.00%,False,0
5,25,50,88.00%,60.00%,False,0
6,25,0,73.33%,50.00%,False,0
7,25,5,65.71%,57.14%,False,0
8,25,0,57.50%,50.00%,False,0
9,25,1.5,51.78%,55.56%,False,0
10,25,50,66.60%,60.00%,False,0
11,25,0,60.55%,54.55%,False,0
12,25,50,72.17%,58.33%,False,0
13,25,0,66.62%,53.85%,False,0
14,25,50,76.14%,57.14%,False,0
15,25,10,73.73%,60.00%,False,0
16,25,0,69.12%,56.25%,False,0
17,25,0.5,65.18%,58.82%,False,0
18,25,9,63.56%,61.11%,False,0
19,25,100,81.26%,63.16%,False,10
20,25,0,77.20%,60.00%,True,9
21,25,0,73.52%,57.14%,True,8
22,25,0,70.18%,54.55%,True,7
23,25,0,67.13%,52.17%,True,6
24,25,50,72.67%,54.17%,True,5
25,25,4.5,70.48%,56.00%,True,4
26,25,15,70.08%,57.69%,True,3
27,25,0,67.48%,55.56%,True,2
28,25,0,65.07%,53.57%,True,1
29,25,0,62.83%,51.72%,True,0
30,25,0,60.73%,50.00%,False,0
31,25,0,58.77%,48.39%,False,0
32,25,50,63.19%,50.00%,False,0
33,25,5,61.88%,51.52%,False,0
34,25,0,60.06%,50.00%,False,0
35,25,50,64.06%,51.43%,False,0
36,25,0,62.28%,50.00%,False,0
37,25,0,60.59%,48.65%,False,0
38,25,5,59.53%,50.00%,False,0
39,25,0.5,58.05%,51.28%,False,0
40,25,5,57.10%,52.50%,False,0
41,25,0,55.71%,51.22%,False,0
42,25,0,54.38%,50.00%,False,0
43,25,0,53.12%,48.84%,False,0
44,25,0,51.91%,47.73%,False,0
45,25,10,51.64%,48.89%,False,0
46,25,55,55.30%,50.00%,False,0
47,25,100,62.64%,51.06%,False,10
48,25,0,61.33%,50.00%,True,9
49,25,15,61.31%,51.02%,True,8
