SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining
50,25,0,60.08%,50.00%,True,7
51,25,4.5,59.25%,50.98%,True,6
52,25,15,59.27%,51.92%,True,5
53,25,4.5,58.49%,52.83%,True,4
54,25,0,57.41%,51.85%,True,3
55,25,0,56.36%,50.91%,True,2
56,25,0,55.36%,50.00%,True,1
57,25,0,54.39%,49.12%,True,0
58,25,100,60.34%,50.00%,False,10
59,25,1.5,59.42%,50.85%,True,9
60,25,0,58.43%,50.00%,True,8
61,25,50,60.75%,50.82%,True,7
62,25,0,59.77%,50.00%,True,6
63,25,4.5,59.11%,50.79%,True,5
64,25,0,58.19%,50.00%,True,4
65,25,0,57.29%,49.23%,True,3
66,25,0.6000000000000001,56.46%,50.00%,True,2
67,25,15,56.51%,50.75%,True,1
68,25,0,55.68%,50.00%,True,0
69,25,0,54.88%,49.28%,False,0
70,25,0.5,54.12%,50.00%,False,0
71,25,0,53.36%,49.30%,False,0
72,25,1.5,52.70%,50.00%,False,0
73,25,100,57.46%,50.68%,False,10
74,25,0,56.68%,50.00%,True,9
75,25,50,58.59%,50.67%,True,8
76,25,0,57.82%,50.00%,True,7
77,25,22.5,58.24%,50.65%,True,6
78,25,0.6000000000000001,57.52%,51.28%,True,5
79,25,0,56.79%,50.63%,True,4
80,25,0,56.08%,50.00%,True,3
81,25,0,55.39%,49.38%,True,2
82,25,0,54.72%,48.78%,True,1
83,25,0,54.06%,48.19%,True,0
84,25,0,53.41%,47.62%,False,0
85,25,55,55.37%,48.24%,False,0
86,25,0.2,54.74%,48.84%,False,0
87,25,50,56.41%,49.43%,False,0
88,25,55,58.27%,50.00%,False,0
89,25,5,57.84%,50.56%,False,0
90,25,0,57.20%,50.00%,False,0
91,25,0,56.57%,49.45%,False,0
92,25,0.7,55.98%,50.00%,False,0
93,25,5,55.60%,50.54%,False,0
94,25,0,55.00%,50.00%,False,0
95,25,0,54.43%,49.47%,False,0
96,25,0,53.86%,48.96%,False,0
97,25,100,57.43%,49.48%,False,10
98,25,1.5,56.90%,50.00%,True,9
99,25,50,58.35%,50.51%,True,8
100,25,0,57.76%,50.00%,True,7
101,25,0,57.19%,49.50%,True,6
102,25,0,56.63%,49.02%,True,5
103,25,0.6000000000000001,56.10%,49.51%,True,4
104,25,15,56.14%,50.00%,True,3
105,25,1.5,55.66%,50.48%,True,2
106,25,50,57.03%,50.94%,True,1
107,25,0,56.49%,50.47%,True,0
108,25,0,55.97%,50.00%,False,0
109,25,50,57.29%,50.46%,False,0
110,25,0,56.77%,50.00%,False,0
111,25,0,56.26%,49.55%,False,0
112,25,50,57.54%,50.00%,False,0
113,25,50,58.80%,50.44%,False,0
114,25,0,58.29%,50.00%,False,0
115,25,5,57.95%,50.43%,False,0
116,25,0,57.46%,50.00%,False,0
117,25,7.5,57.22%,50.43%,False,0
118,25,0,56.74%,50.00%,False,0
119,25,50,57.94%,50.42%,False,0
120,25,0,57.46%,50.00%,False,0
121,25,50,58.63%,50.41%,False,0
122,25,5,58.32%,50.82%,False,0
123,25,0,57.84%,50.41%,False,0
124,25,0,57.38%,50.00%,False,0
125,25,0,56.92%,49.60%,False,0
126,25,50,58.05%,50.00%,False,0
127,25,50,59.17%,50.39%,False,0
128,25,50.2,60.28%,50.78%,False,0
129,25,50,61.36%,51.16%,False,0
130,25,0,60.89%,50.77%,False,0
131,25,0.2,60.43%,51.15%,False,0
132,25,0,59.97%,50.76%,False,0
133,25,0,59.52%,50.38%,False,0
134,25,0,59.08%,50.00%,False,0
135,25,0,58.64%,49.63%,False,0
136,25,50,59.68%,50.00%,False,0
137,25,5,59.39%,50.36%,False,0
138,25,0,58.96%,50.00%,False,0
139,25,101.5,61.46%,50.36%,False,0
140,25,7.7,61.24%,50.71%,False,0
141,25,0,60.80%,50.35%,False,0
142,25,0,60.37%,50.00%,False,0
143,25,0,59.95%,49.65%,False,0
144,25,50,60.92%,50.00%,False,0
145,25,0,60.50%,49.66%,False,0
146,25,50,61.46%,50.00%,False,0
147,25,1.5,61.08%,50.34%,False,0
148,25,0,60.67%,50.00%,False,0
149,25,5,60.40%,50.34%,False,0
150,25,0,59.99%,50.00%,False,0
151,25,1.5,59.64%,50.33%,False,0
152,25,0,59.24%,50.00%,False,0
153,25,0.5,58.87%,50.33%,False,0
154,25,0,58.49%,50.00%,False,0
155,25,5,58.24%,50.32%,False,0
156,25,0,57.87%,50.00%,False,0
157,25,1.5,57.54%,50.32%,False,0
158,25,0.5,57.18%,50.63%,False,0
159,25,50,58.08%,50.94%,False,0
160,25,50.2,58.97%,51.25%,False,0
161,25,0,58.61%,50.93%,False,0
162,25,5,58.37%,51.23%,False,0
163,25,0,58.01%,50.92%,False,0
164,25,0,57.66%,50.61%,False,0
165,25,0,57.31%,50.30%,False,0
166,25,2,57.01%,50.60%,False,0
167,25,0,56.67%,50.30%,False,0
168,25,0,56.33%,50.00%,False,0
169,25,50,57.18%,50.30%,False,0
170,25,0,56.85%,50.00%,False,0
171,25,50,57.68%,50.29%,False,0
172,25,50,58.51%,50.58%,False,0
173,25,0,58.17%,50.29%,False,0
174,25,1.5,57.87%,50.57%,False,0
175,25,0,57.54%,50.29%,False,0
176,25,0,57.22%,50.00%,False,0
177,25,5,57.01%,50.28%,False,0
178,25,0,56.69%,50.00%,False,0
179,25,0,56.37%,49.72%,False,0
180,25,6.5,56.20%,50.00%,False,0
181,25,50,56.99%,50.28%,False,0
182,25,0,56.68%,50.00%,False,0
183,25,5,56.48%,50.27%,False,0
184,25,0,56.17%,50.00%,False,0
185,25,50,56.95%,50.27%,False,0
186,25,1.5,56.68%,50.54%,False,0
187,25,1.5,56.41%,50.80%,False,0
188,25,0,56.11%,50.53%,False,0
189,25,0,55.81%,50.26%,False,0
190,25,55,56.67%,50.53%,False,0
191,25,0.2,56.38%,50.79%,False,0
192,25,50,57.13%,51.04%,False,0
193,25,0,56.83%,50.78%,False,0
194,25,0,56.54%,50.52%,False,0
195,25,50,57.28%,50.77%,False,0
196,25,5,57.09%,51.02%,False,0
197,25,1.5,56.83%,51.27%,False,0
198,25,50,57.55%,51.52%,False,0
199,25,10,57.46%,51.76%,False,0
200,25,0,57.17%,51.50%,False,0
