SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
1,25,0.2,0.80%,100.00%,False,0,HighRtpSet_44,56.03%
2,25,50,100.40%,100.00%,False,0,HighRtpSet_39,55.21%
3,25,50,133.60%,100.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
4,25,0,100.20%,75.00%,False,0,HighRtpSet_46,67.21%
5,25,10,88.16%,80.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
6,25,0,73.47%,66.67%,False,0,HighRtpSet_37,84.01%
7,25,25,77.26%,71.43%,False,0,HighRtpSet_33,45.43%
8,25,0,67.60%,62.50%,False,0,HighRtpSet_42,50.34%
9,25,55.5,84.76%,66.67%,False,0,HighRtpSet_33,91.74%
10,25,0,76.28%,60.00%,False,0,HighRtpSet_43,72.99%
11,25,0,69.35%,54.55%,False,0,HighRtpSet_45,76.75%
12,25,5,65.23%,58.33%,False,0,HighRtpSet_46,48.30%
13,25,5.2,61.82%,61.54%,False,0,HighRtpSet_50,59.49%
14,25,0,57.40%,57.14%,False,0,HighRtpSet_34,85.55%
15,25,7.5,55.57%,60.00%,False,0,HighRtpSet_41,78.09%
16,25,0,52.10%,56.25%,False,0,HighRtpSet_50,51.61%
17,25,2,49.51%,58.82%,False,0,HighRtpSet_41,110.00%
18,25,50,57.87%,61.11%,False,0,HighRtpSet_41,67.11%
19,25,0,54.82%,57.89%,False,0,HighRtpSet_32,54.57%
20,25,0,52.08%,55.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
21,25,5,50.55%,57.14%,False,0,HighRtpSet_44,55.50%
22,25,10,50.07%,59.09%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
23,25,1.5,48.16%,60.87%,False,0,HighRtpSet_41,59.61%
24,25,50,54.48%,62.50%,False,0,MidRtpSet_17,47.05%
25,25,0,52.30%,60.00%,False,0,HighRtpSet_47,90.35%
26,25,5,51.06%,61.54%,False,0,HighRtpSet_43,57.08%
27,25,124.2,67.57%,62.96%,False,0,HighRtpSet_31,54.49%
28,25,0,65.16%,60.71%,False,0,HighRtpSet_48,52.49%
29,25,0,62.91%,58.62%,False,0,HighRtpSet_43,60.30%
30,25,0,60.81%,56.67%,False,0,HighRtpSet_47,53.88%
31,25,0,58.85%,54.84%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
