SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining
183,25,0,76.24%,50.27%,False,0
184,25,0,75.82%,50.00%,False,0
185,25,50,76.49%,50.27%,False,0
186,25,5,76.19%,50.54%,False,0
187,25,50,76.85%,50.80%,False,0
188,25,10,76.66%,51.06%,False,0
189,25,0,76.25%,50.79%,False,0
190,25,0,75.85%,50.53%,False,0
191,25,0,75.45%,50.26%,False,0
192,25,1.5,75.09%,50.52%,False,0
193,25,0,74.70%,50.26%,False,0
194,25,0,74.32%,50.00%,False,0
195,25,50,74.96%,50.26%,False,0
196,25,0,74.58%,50.00%,False,0
197,25,0,74.20%,49.75%,False,0
198,25,0,73.82%,49.49%,False,0
199,25,100,75.46%,49.75%,False,0
200,25,100,77.09%,50.00%,False,0
