SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
122,25,0,71.61%,50.82%,False,0,HighRtpSet_40,62.29%
123,25,50,72.66%,51.22%,False,0,MidRtpSet_18,58.08%
124,25,0,72.07%,50.81%,False,0,MidRtpSet_19,57.54%
125,25,0,71.49%,50.40%,False,0,HighRtpSet_37,54.92%
126,25,100,74.10%,50.79%,False,10,HighRtpSet_43,78.40%
127,25,0,73.52%,50.39%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
128,25,0,72.94%,50.00%,True,8,MidRtpSet_22,81.16%
129,25,1.5,72.42%,50.39%,True,7,MidRtpSet_22,74.83%
130,25,0,71.87%,50.00%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
131,25,0.6000000000000001,71.34%,50.38%,True,5,SAFE_FALLBACK_REAL_SET,30.00%
132,25,0,70.80%,50.00%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
133,25,50,71.77%,50.38%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
134,25,0,71.23%,50.00%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
135,25,22.5,71.37%,50.37%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
136,25,50,72.32%,50.74%,True,0,MidRtpSet_27,84.15%
137,25,0,71.79%,50.36%,False,0,HighRtpSet_48,55.61%
138,25,0,71.27%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
139,25,5,70.90%,50.36%,False,0,HighRtpSet_34,110.00%
140,25,5,70.54%,50.71%,False,0,HighRtpSet_49,54.58%
141,25,0,70.04%,50.35%,False,0,HighRtpSet_48,66.32%
142,25,50,70.95%,50.70%,False,0,HighRtpSet_41,45.66%
143,25,0,70.46%,50.35%,False,0,HighRtpSet_46,59.19%
144,25,0,69.97%,50.00%,False,0,HighRtpSet_49,110.00%
145,25,1.5,69.53%,50.34%,False,0,HighRtpSet_44,67.49%
146,25,1.5,69.09%,50.68%,False,0,HighRtpSet_33,54.12%
147,25,25,69.30%,51.02%,False,0,HighRtpSet_40,90.05%
148,25,110,71.81%,51.35%,False,0,HighRtpSet_43,81.70%
149,25,0,71.32%,51.01%,False,0,HighRtpSet_36,52.30%
150,25,0,70.85%,50.67%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
151,25,5,70.51%,50.99%,False,0,HighRtpSet_44,60.34%
152,25,0,70.05%,50.66%,False,0,HighRtpSet_38,66.20%
153,25,7.5,69.79%,50.98%,False,0,HighRtpSet_33,73.59%
154,25,0,69.33%,50.65%,False,0,HighRtpSet_45,71.49%
155,25,0,68.89%,50.32%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
156,25,0,68.44%,50.00%,False,0,HighRtpSet_32,54.29%
