SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
1,25,0.5,2.00%,100.00%,False,0,HighRtpSet_49,62.12%
2,25,100,201.00%,100.00%,False,10,MidRtpSet_17,46.71%
3,25,0,134.00%,66.67%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
4,25,0,100.50%,50.00%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
5,25,0,80.40%,40.00%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
6,25,0,67.00%,33.33%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
7,25,0,57.43%,28.57%,True,5,MidRtpSet_18,56.19%
8,25,0,50.25%,25.00%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
9,25,4.5,46.67%,33.33%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
10,25,0.6000000000000001,42.24%,40.00%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
11,25,0.6000000000000001,38.62%,45.45%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
12,25,4.5,36.90%,50.00%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
13,25,50,49.45%,53.85%,False,0,HighRtpSet_37,110.00%
14,25,0.2,45.97%,57.14%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
15,25,0,42.91%,53.33%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
16,25,50,52.72%,56.25%,False,0,HighRtpSet_47,61.21%
17,25,0.2,49.67%,58.82%,False,0,MidRtpSet_16,85.37%
18,25,5,48.02%,61.11%,False,0,HighRtpSet_49,63.00%
19,25,50,56.02%,63.16%,False,0,HighRtpSet_36,54.64%
20,25,0,53.22%,60.00%,False,0,HighRtpSet_33,110.00%
21,25,0,50.69%,57.14%,False,0,HighRtpSet_46,96.46%
22,25,0.2,48.42%,59.09%,False,0,MidRtpSet_16,52.71%
23,25,50,55.01%,60.87%,False,0,HighRtpSet_37,92.53%
24,25,0,52.72%,58.33%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
25,25,50,58.61%,60.00%,False,0,HighRtpSet_39,57.98%
26,25,100,71.74%,61.54%,False,10,HighRtpSet_50,58.99%
27,25,0,69.08%,59.26%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
28,25,0,66.61%,57.14%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
29,25,0,64.32%,55.17%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
30,25,1.5,62.37%,56.67%,True,6,MidRtpSet_22,53.17%
31,25,0,60.36%,54.84%,True,5,MidRtpSet_30,57.40%
32,25,0,58.47%,53.12%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
33,25,0,56.70%,51.52%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
34,25,0,55.04%,50.00%,True,2,MidRtpSet_26,63.61%
35,25,0,53.46%,48.57%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
36,25,4.5,52.48%,50.00%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
37,25,0.5,51.11%,51.35%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
38,25,0,49.77%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
39,25,625,112.59%,51.28%,False,10,HighRtpSet_42,83.92%
40,25,0,109.78%,50.00%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
41,25,0,107.10%,48.78%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
42,25,0,104.55%,47.62%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
43,25,0,102.12%,46.51%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
44,25,0,99.80%,45.45%,True,5,MidRtpSet_17,78.57%
45,25,15,98.92%,46.67%,True,4,MidRtpSet_17,49.89%
46,25,0,96.77%,45.65%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
47,25,0,94.71%,44.68%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
48,25,0,92.73%,43.75%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
49,25,0,90.84%,42.86%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
50,25,0,89.02%,42.00%,False,0,HighRtpSet_38,60.30%
51,25,0,87.28%,41.18%,False,0,HighRtpSet_31,77.71%
52,25,1.5,85.72%,42.31%,False,0,HighRtpSet_45,49.85%
53,25,50,87.87%,43.40%,False,0,HighRtpSet_41,85.40%
54,25,5,86.61%,44.44%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
55,25,0.2,85.05%,45.45%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
56,25,1.5,83.64%,46.43%,False,0,HighRtpSet_44,51.83%
57,25,0,82.18%,45.61%,False,0,HighRtpSet_40,62.54%
58,25,50,84.21%,46.55%,False,0,MidRtpSet_19,78.19%
59,25,1.5,82.88%,47.46%,False,0,HighRtpSet_39,60.62%
60,25,5,81.83%,48.33%,False,0,HighRtpSet_46,110.00%
61,25,100,87.05%,49.18%,False,10,MidRtpSet_22,53.45%
62,25,30,87.58%,50.00%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
63,25,0.6000000000000001,86.23%,50.79%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
64,25,0,84.88%,50.00%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
65,25,15,84.50%,50.77%,True,6,MidRtpSet_18,51.87%
66,25,0,83.22%,50.00%,True,5,SAFE_FALLBACK_REAL_SET,30.00%
67,25,0,81.98%,49.25%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
68,25,0,80.77%,48.53%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
69,25,0,79.60%,47.83%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
70,25,0,78.46%,47.14%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
71,25,0,77.36%,46.48%,True,0,MidRtpSet_21,51.64%
72,25,1.5,76.37%,47.22%,False,0,HighRtpSet_46,90.31%
73,25,0,75.32%,46.58%,False,0,LowRtpSet_8,49.74%
74,25,10,74.84%,47.30%,False,0,HighRtpSet_43,54.36%
75,25,50,76.51%,48.00%,False,0,HighRtpSet_36,65.88%
76,25,50,78.14%,48.68%,False,0,HighRtpSet_35,88.49%
77,25,50,79.72%,49.35%,False,0,HighRtpSet_34,85.18%
78,25,0,78.70%,48.72%,False,0,HighRtpSet_39,84.16%
79,25,5,77.95%,49.37%,False,0,HighRtpSet_31,46.46%
80,25,1.5,77.06%,50.00%,False,0,HighRtpSet_50,52.26%
81,25,5,76.35%,50.62%,False,0,HighRtpSet_45,54.91%
82,25,0,75.42%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
83,25,100,79.33%,50.60%,False,10,HighRtpSet_47,86.30%
84,25,4.5,78.60%,51.19%,True,9,MidRtpSet_19,49.76%
85,25,0,77.68%,50.59%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
86,25,0,76.77%,50.00%,True,7,MidRtpSet_20,105.06%
87,25,0,75.89%,49.43%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
88,25,150,81.85%,50.00%,True,5,MidRtpSet_16,60.14%
89,25,0,80.93%,49.44%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
90,25,0,80.03%,48.89%,True,3,MidRtpSet_27,53.93%
91,25,0,79.15%,48.35%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
92,25,0,78.29%,47.83%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
93,25,0,77.45%,47.31%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
94,25,100,80.88%,47.87%,False,0,HighRtpSet_33,56.45%
95,25,51.7,82.20%,48.42%,False,0,HighRtpSet_39,86.34%
96,25,10,81.76%,48.96%,False,0,HighRtpSet_33,65.74%
97,25,0.5,80.94%,49.48%,False,0,HighRtpSet_45,62.81%
98,25,100,84.20%,50.00%,False,0,HighRtpSet_41,63.57%
99,25,0,83.35%,49.49%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
100,25,50,84.51%,50.00%,False,0,HighRtpSet_40,48.51%
101,25,5,83.87%,50.50%,False,0,HighRtpSet_46,52.42%
102,25,0,83.05%,50.00%,False,0,HighRtpSet_36,50.81%
103,25,10,82.63%,50.49%,False,0,HighRtpSet_35,67.99%
104,25,0,81.84%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
105,25,0,81.06%,49.52%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
106,25,50,82.18%,50.00%,False,0,HighRtpSet_35,58.42%
107,25,5,81.60%,50.47%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
108,25,15,81.40%,50.93%,False,0,HighRtpSet_43,63.42%
109,25,0,80.65%,50.46%,False,0,HighRtpSet_41,87.90%
110,25,50,81.74%,50.91%,False,0,HighRtpSet_49,63.40%
111,25,0,81.00%,50.45%,False,0,HighRtpSet_38,58.54%
112,25,0,80.28%,50.00%,False,0,MidRtpSet_22,76.89%
113,25,50,81.34%,50.44%,False,0,HighRtpSet_44,76.84%
114,25,625,102.55%,50.88%,False,0,HighRtpSet_45,93.80%
115,25,0,101.66%,50.43%,False,0,HighRtpSet_34,81.16%
116,25,0,100.79%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
117,25,0,99.92%,49.57%,False,0,HighRtpSet_49,53.41%
118,25,0,99.08%,49.15%,False,0,HighRtpSet_31,59.87%
119,25,0,98.25%,48.74%,False,0,LowRtpSet_14,58.38%
120,25,50,99.09%,49.17%,False,0,MidRtpSet_28,52.63%
121,25,0,98.27%,48.76%,False,0,HighRtpSet_43,110.00%
122,25,101.7,100.80%,49.18%,False,0,HighRtpSet_41,67.19%
123,25,102,103.30%,49.59%,False,0,HighRtpSet_31,64.34%
124,25,0.5,102.48%,50.00%,False,0,MidRtpSet_25,48.52%
125,25,0,101.66%,49.60%,False,0,MidRtpSet_24,83.21%
126,25,5,101.02%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
127,25,0,100.22%,49.61%,False,0,HighRtpSet_37,90.79%
128,25,100,102.56%,50.00%,False,0,HighRtpSet_44,110.00%
129,25,0,101.77%,49.61%,False,0,HighRtpSet_50,86.90%
130,25,0,100.98%,49.23%,False,0,HighRtpSet_43,59.28%
131,25,0,100.21%,48.85%,False,0,MidRtpSet_24,62.03%
132,25,50.2,100.98%,49.24%,False,0,HighRtpSet_47,82.68%
133,25,0,100.22%,48.87%,False,0,HighRtpSet_42,73.44%
134,25,0,99.47%,48.51%,False,0,HighRtpSet_48,66.73%
135,25,0,98.73%,48.15%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
136,25,0,98.01%,47.79%,False,0,MidRtpSet_25,50.14%
137,25,0,97.29%,47.45%,False,0,HighRtpSet_37,59.91%
138,25,0,96.59%,47.10%,False,0,HighRtpSet_39,58.54%
139,25,0,95.89%,46.76%,False,0,HighRtpSet_48,62.16%
140,25,0,95.21%,46.43%,False,0,HighRtpSet_44,83.11%
141,25,50,95.95%,46.81%,False,0,MidRtpSet_25,110.00%
142,25,0,95.27%,46.48%,False,0,HighRtpSet_42,110.00%
143,25,10,94.89%,46.85%,False,0,HighRtpSet_46,63.39%
144,25,0,94.23%,46.53%,False,0,HighRtpSet_50,61.67%
145,25,8,93.80%,46.90%,False,0,HighRtpSet_50,66.04%
146,25,55,94.66%,47.26%,False,0,HighRtpSet_35,67.79%
147,25,0,94.02%,46.94%,False,0,HighRtpSet_50,51.46%
148,25,5,93.52%,47.30%,False,0,LowRtpSet_1,60.90%
149,25,0,92.89%,46.98%,False,0,HighRtpSet_34,56.93%
150,25,5.5,92.42%,47.33%,False,0,HighRtpSet_41,53.29%
151,25,0,91.81%,47.02%,False,0,HighRtpSet_42,60.70%
152,25,0,91.20%,46.71%,False,0,HighRtpSet_39,53.66%
153,25,55,92.04%,47.06%,False,0,HighRtpSet_41,72.22%
154,25,0,91.45%,46.75%,False,0,HighRtpSet_42,86.33%
155,25,0,90.86%,46.45%,False,0,HighRtpSet_50,61.91%
156,25,50,91.56%,46.79%,False,0,MidRtpSet_27,58.30%
157,25,1.5,91.01%,47.13%,False,0,HighRtpSet_40,55.25%
158,25,0,90.44%,46.84%,False,0,HighRtpSet_32,59.21%
159,25,55,91.25%,47.17%,False,0,HighRtpSet_40,110.00%
160,25,0,90.68%,46.88%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
161,25,1.5,90.15%,47.20%,False,0,HighRtpSet_49,59.95%
162,25,0,89.60%,46.91%,False,0,HighRtpSet_34,62.41%
163,25,0,89.05%,46.63%,False,0,HighRtpSet_38,83.99%
164,25,0,88.50%,46.34%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
165,25,0,87.97%,46.06%,False,0,HighRtpSet_38,80.81%
166,25,50,88.64%,46.39%,False,0,HighRtpSet_48,79.90%
167,25,0,88.11%,46.11%,False,0,HighRtpSet_43,46.12%
168,25,55,88.90%,46.43%,False,0,HighRtpSet_39,61.51%
169,25,0,88.37%,46.15%,False,0,HighRtpSet_46,48.56%
170,25,0,87.85%,45.88%,False,0,MidRtpSet_30,90.49%
171,25,6.5,87.49%,46.20%,False,0,HighRtpSet_40,76.45%
172,25,0,86.98%,45.93%,False,0,HighRtpSet_50,63.43%
173,25,10,86.71%,46.24%,False,0,HighRtpSet_48,46.14%
174,25,1.5,86.25%,46.55%,False,0,HighRtpSet_47,45.39%
175,25,50,86.90%,46.86%,False,0,HighRtpSet_40,86.33%
176,25,100,88.67%,47.16%,False,0,MidRtpSet_26,55.54%
177,25,5,88.29%,47.46%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
178,25,0,87.79%,47.19%,False,0,HighRtpSet_38,65.90%
179,25,0,87.30%,46.93%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
180,25,5.2,86.93%,47.22%,False,0,HighRtpSet_40,57.84%
181,25,100,88.66%,47.51%,False,0,HighRtpSet_48,50.01%
182,25,0,88.17%,47.25%,False,0,MidRtpSet_16,58.37%
183,25,0,87.69%,46.99%,False,0,HighRtpSet_35,92.65%
184,25,0,87.22%,46.74%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
185,25,1.5,86.78%,47.03%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
186,25,0.5,86.32%,47.31%,False,0,HighRtpSet_39,81.04%
187,25,53,86.99%,47.59%,False,0,MidRtpSet_24,77.71%
188,25,100.2,88.66%,47.87%,False,0,HighRtpSet_43,55.19%
189,25,0,88.19%,47.62%,False,0,HighRtpSet_33,54.28%
190,25,0,87.73%,47.37%,False,0,HighRtpSet_32,53.35%
191,25,5,87.37%,47.64%,False,0,HighRtpSet_44,61.12%
192,25,0,86.92%,47.40%,False,0,MidRtpSet_29,63.80%
193,25,2.5,86.52%,47.67%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
194,25,50,87.11%,47.94%,False,0,HighRtpSet_45,77.62%
195,25,0,86.66%,47.69%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
196,25,100.2,88.26%,47.96%,False,0,HighRtpSet_40,57.43%
197,25,0.2,87.82%,48.22%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
198,25,6.5,87.51%,48.48%,False,0,HighRtpSet_39,68.19%
199,25,1.7,87.10%,48.74%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
200,25,0,86.66%,48.50%,False,0,HighRtpSet_43,48.64%
