SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
1,25,0,0.00%,0.00%,False,0,LowRtpSet_11,72.40%
2,25,5,10.00%,50.00%,False,0,HighRtpSet_46,70.87%
3,25,50,73.33%,66.67%,False,0,HighRtpSet_45,110.00%
4,25,0,55.00%,50.00%,False,0,HighRtpSet_41,110.00%
5,25,1.5,45.20%,60.00%,False,0,HighRtpSet_47,49.08%
6,25,5,41.00%,66.67%,False,0,HighRtpSet_35,38.82%
7,25,50,63.71%,71.43%,False,0,HighRtpSet_37,35.47%
8,25,5,58.25%,75.00%,False,0,HighRtpSet_36,85.76%
9,25,0,51.78%,66.67%,False,0,MidRtpSet_23,45.32%
10,25,5,48.60%,70.00%,False,0,HighRtpSet_32,88.06%
11,25,5,46.00%,72.73%,False,0,HighRtpSet_33,85.57%
12,25,100,75.50%,75.00%,False,10,LowRtpSet_12,37.83%
13,25,1.5,70.15%,76.92%,True,9,MidRtpSet_30,54.82%
14,25,0,65.14%,71.43%,True,8,MidRtpSet_18,56.42%
15,25,0,60.80%,66.67%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
16,25,50,69.50%,68.75%,True,6,MidRtpSet_22,61.17%
17,25,0,65.41%,64.71%,True,5,MidRtpSet_23,61.53%
18,25,15,65.11%,66.67%,True,4,MidRtpSet_30,49.94%
19,25,0,61.68%,63.16%,True,3,MidRtpSet_19,49.86%
20,25,4.5,59.50%,65.00%,True,2,MidRtpSet_25,59.06%
21,25,0,56.67%,61.90%,True,1,MidRtpSet_21,76.63%
22,25,0,54.09%,59.09%,True,0,MidRtpSet_18,87.05%
23,25,0,51.74%,56.52%,False,0,HighRtpSet_31,110.00%
24,25,100,66.25%,58.33%,False,10,HighRtpSet_37,82.06%
25,25,0,63.60%,56.00%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
26,25,0,61.15%,53.85%,True,8,MidRtpSet_19,36.33%
27,25,100,73.70%,55.56%,True,7,MidRtpSet_22,46.19%
28,25,0,71.07%,53.57%,True,6,MidRtpSet_22,61.69%
29,25,0,68.62%,51.72%,True,5,SAFE_FALLBACK_REAL_SET,30.00%
30,25,15,68.33%,53.33%,True,4,MidRtpSet_19,38.38%
31,25,0,66.13%,51.61%,True,3,MidRtpSet_28,43.79%
32,25,0.6000000000000001,64.14%,53.12%,True,2,MidRtpSet_26,80.38%
33,25,0,62.19%,51.52%,True,1,MidRtpSet_18,44.94%
34,25,50,66.25%,52.94%,True,0,MidRtpSet_25,47.07%
35,25,0.5,64.41%,54.29%,False,0,HighRtpSet_37,68.05%
36,25,0,62.62%,52.78%,False,0,HighRtpSet_39,92.24%
37,25,0,60.93%,51.35%,False,0,HighRtpSet_43,55.30%
38,25,0,59.33%,50.00%,False,0,HighRtpSet_44,56.53%
39,25,10,58.83%,51.28%,False,0,HighRtpSet_42,82.75%
40,25,10,58.36%,52.50%,False,0,HighRtpSet_36,55.87%
41,25,0,56.94%,51.22%,False,0,HighRtpSet_34,35.65%
42,25,0,55.58%,50.00%,False,0,HighRtpSet_48,79.07%
43,25,0.5,54.33%,51.16%,False,0,HighRtpSet_33,74.67%
44,25,1.5,53.24%,52.27%,False,0,HighRtpSet_33,60.34%
45,25,50,56.50%,53.33%,False,0,HighRtpSet_50,65.85%
46,25,50,59.62%,54.35%,False,0,HighRtpSet_31,87.49%
47,25,1.5,58.48%,55.32%,False,0,LowRtpSet_12,36.88%
48,25,0.5,57.30%,56.25%,False,0,HighRtpSet_40,35.71%
49,25,5,56.54%,57.14%,False,0,HighRtpSet_40,47.58%
50,25,0,55.41%,56.00%,False,0,MidRtpSet_23,55.06%
51,25,50,58.24%,56.86%,False,0,HighRtpSet_31,84.29%
52,25,0.5,57.16%,57.69%,False,0,MidRtpSet_22,108.01%
53,25,0,56.08%,56.60%,False,0,MidRtpSet_17,76.50%
54,25,0,55.04%,55.56%,False,0,MidRtpSet_26,59.20%
55,25,0,54.04%,54.55%,False,0,HighRtpSet_47,35.61%
56,25,0,53.08%,53.57%,False,0,HighRtpSet_38,36.48%
57,25,0,52.15%,52.63%,False,0,LowRtpSet_1,86.91%
58,25,100,58.14%,53.45%,False,10,HighRtpSet_32,53.26%
59,25,30,59.19%,54.24%,True,9,MidRtpSet_16,47.16%
60,25,0,58.21%,53.33%,True,8,MidRtpSet_21,59.34%
61,25,0,57.25%,52.46%,True,7,MidRtpSet_18,46.66%
62,25,0,56.33%,51.61%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
63,25,0,55.43%,50.79%,True,5,MidRtpSet_16,49.72%
64,25,0,54.57%,50.00%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
65,25,15,54.65%,50.77%,True,3,MidRtpSet_16,37.75%
66,25,0,53.82%,50.00%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
67,25,0,53.02%,49.25%,True,1,MidRtpSet_22,85.84%
68,25,0,52.24%,48.53%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
69,25,50,54.38%,49.28%,False,0,HighRtpSet_49,110.00%
70,25,5,53.89%,50.00%,False,0,HighRtpSet_48,43.26%
71,25,0.5,53.16%,50.70%,False,0,HighRtpSet_46,59.52%
72,25,0,52.42%,50.00%,False,0,LowRtpSet_8,66.03%
73,25,10,52.25%,50.68%,False,0,HighRtpSet_33,81.60%
74,25,50,54.25%,51.35%,False,0,HighRtpSet_49,110.00%
75,25,0.7,53.56%,52.00%,False,0,MidRtpSet_22,50.36%
76,25,50,55.49%,52.63%,False,0,HighRtpSet_45,54.94%
77,25,50,57.37%,53.25%,False,0,MidRtpSet_25,58.21%
78,25,0,56.63%,52.56%,False,0,HighRtpSet_41,64.62%
79,25,50,58.45%,53.16%,False,0,HighRtpSet_32,77.54%
80,25,0,57.72%,52.50%,False,0,LowRtpSet_6,39.05%
81,25,50,59.47%,53.09%,False,0,HighRtpSet_49,50.25%
82,25,100,63.62%,53.66%,False,10,HighRtpSet_42,86.10%
83,25,15,63.58%,54.22%,True,9,MidRtpSet_29,54.82%
84,25,0,62.82%,53.57%,True,8,MidRtpSet_23,78.61%
85,25,1.5,62.16%,54.12%,True,7,MidRtpSet_25,35.01%
86,25,50,63.76%,54.65%,True,6,MidRtpSet_27,52.36%
87,25,6,63.30%,55.17%,True,5,MidRtpSet_17,110.00%
88,25,15,63.26%,55.68%,True,4,MidRtpSet_25,35.92%
89,25,50,64.80%,56.18%,True,3,MidRtpSet_23,109.38%
90,25,0,64.08%,55.56%,True,2,MidRtpSet_16,61.02%
91,25,1.5,63.44%,56.04%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
92,25,0,62.75%,55.43%,True,0,MidRtpSet_24,90.18%
93,25,0,62.08%,54.84%,False,0,HighRtpSet_44,84.13%
94,25,0,61.42%,54.26%,False,0,HighRtpSet_32,64.31%
95,25,0,60.77%,53.68%,False,0,HighRtpSet_35,51.16%
