SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
1,25,5,20.00%,100.00%,False,0,HighRtpSet_46,51.86%
2,25,1.5,13.00%,100.00%,False,0,HighRtpSet_33,62.93%
3,25,5,15.33%,100.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
4,25,50,61.50%,100.00%,False,0,HighRtpSet_46,52.41%
5,25,50,89.20%,100.00%,False,0,HighRtpSet_48,68.38%
6,25,0,74.33%,83.33%,False,0,HighRtpSet_46,82.05%
7,25,0.2,63.83%,85.71%,False,0,HighRtpSet_33,57.10%
8,25,0,55.85%,75.00%,False,0,HighRtpSet_44,49.12%
9,25,0,49.64%,66.67%,False,0,MidRtpSet_28,56.84%
10,25,100,84.68%,70.00%,False,10,HighRtpSet_39,57.55%
11,25,0,76.98%,63.64%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
12,25,0,70.57%,58.33%,True,8,MidRtpSet_26,54.18%
13,25,0,65.14%,53.85%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
14,25,0,60.49%,50.00%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
15,25,15,60.45%,53.33%,True,5,SAFE_FALLBACK_REAL_SET,30.00%
16,25,50.6,69.33%,56.25%,True,4,MidRtpSet_16,62.51%
17,25,0,65.25%,52.94%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
18,25,0,61.62%,50.00%,True,2,MidRtpSet_22,57.30%
19,25,15,61.54%,52.63%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
20,25,0,58.46%,50.00%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
21,25,50,65.20%,52.38%,False,0,HighRtpSet_49,59.37%
22,25,0,62.24%,50.00%,False,0,HighRtpSet_50,78.45%
23,25,5,60.40%,52.17%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
24,25,1.5,58.13%,54.17%,False,0,HighRtpSet_31,85.99%
25,25,50,63.81%,56.00%,False,0,HighRtpSet_46,86.61%
26,25,1.5,61.58%,57.69%,False,0,HighRtpSet_43,51.36%
