SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining,ReelSetName,ExpectedRTP
1,25,50,200.00%,100.00%,False,0,HighRtpSet_43,53.12%
2,25,0,100.00%,50.00%,False,0,HighRtpSet_32,81.06%
3,25,1.5,68.67%,66.67%,False,0,HighRtpSet_34,77.76%
4,25,7.5,59.00%,75.00%,False,0,HighRtpSet_44,76.16%
5,25,0,47.20%,60.00%,False,0,HighRtpSet_46,84.86%
6,25,50,72.67%,66.67%,False,0,MidRtpSet_19,47.45%
7,25,50,90.86%,71.43%,False,0,HighRtpSet_44,74.07%
8,25,0,79.50%,62.50%,False,0,HighRtpSet_38,83.84%
9,25,1.5,71.33%,66.67%,False,0,HighRtpSet_39,54.51%
10,25,0,64.20%,60.00%,False,0,HighRtpSet_33,55.39%
11,25,0,58.36%,54.55%,False,0,HighRtpSet_40,56.06%
12,25,50,70.17%,58.33%,False,0,MidRtpSet_29,88.78%
13,25,375,180.15%,61.54%,False,10,HighRtpSet_43,64.94%
14,25,0.6000000000000001,167.46%,64.29%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
15,25,0,156.29%,60.00%,True,8,MidRtpSet_29,56.76%
16,25,0,146.53%,56.25%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
17,25,0,137.91%,52.94%,True,6,SAFE_FALLBACK_REAL_SET,30.00%
18,25,4.5,131.24%,55.56%,True,5,SAFE_FALLBACK_REAL_SET,30.00%
19,25,0,124.34%,52.63%,True,4,SAFE_FALLBACK_REAL_SET,30.00%
20,25,0,118.12%,50.00%,True,3,SAFE_FALLBACK_REAL_SET,30.00%
21,25,0,112.50%,47.62%,True,2,MidRtpSet_28,78.05%
22,25,0,107.38%,45.45%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
23,25,0,102.71%,43.48%,True,0,SAFE_FALLBACK_REAL_SET,30.00%
24,25,60,108.43%,45.83%,False,0,HighRtpSet_31,76.27%
25,25,50,112.10%,48.00%,False,0,HighRtpSet_31,87.51%
26,25,0,107.78%,46.15%,False,0,HighRtpSet_33,110.00%
27,25,5,104.53%,48.15%,False,0,HighRtpSet_38,54.46%
28,25,0,100.80%,46.43%,False,0,HighRtpSet_47,53.92%
29,25,50,104.22%,48.28%,False,0,HighRtpSet_33,84.03%
30,25,0,100.75%,46.67%,False,0,HighRtpSet_34,84.35%
31,25,5,98.14%,48.39%,False,0,HighRtpSet_46,60.40%
32,25,0,95.08%,46.88%,False,0,HighRtpSet_37,51.27%
33,25,10,93.41%,48.48%,False,0,HighRtpSet_36,82.82%
34,25,0,90.66%,47.06%,False,0,HighRtpSet_44,52.37%
35,25,5,88.64%,48.57%,False,0,HighRtpSet_45,58.54%
36,25,0,86.18%,47.22%,False,0,HighRtpSet_49,54.70%
37,25,1.5,84.01%,48.65%,False,0,HighRtpSet_49,52.28%
38,25,5,82.33%,50.00%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
39,25,0,80.22%,48.72%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
40,25,0,78.21%,47.50%,False,0,HighRtpSet_50,50.85%
41,25,50,81.18%,48.78%,False,0,HighRtpSet_36,49.43%
42,25,50,84.01%,50.00%,False,0,HighRtpSet_39,59.26%
43,25,0,82.06%,48.84%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
44,25,50,84.74%,50.00%,False,0,HighRtpSet_44,61.14%
45,25,625,138.41%,51.11%,False,10,LowRtpSet_6,54.11%
46,25,0,135.40%,50.00%,True,9,SAFE_FALLBACK_REAL_SET,30.00%
47,25,0,132.52%,48.94%,True,8,SAFE_FALLBACK_REAL_SET,30.00%
48,25,0,129.76%,47.92%,True,7,SAFE_FALLBACK_REAL_SET,30.00%
49,25,0,127.11%,46.94%,True,6,MidRtpSet_24,60.44%
50,25,0,124.57%,46.00%,True,5,SAFE_FALLBACK_REAL_SET,30.00%
51,25,15,123.30%,47.06%,True,4,MidRtpSet_19,55.52%
52,25,50,124.78%,48.08%,True,3,MidRtpSet_27,51.39%
53,25,0,122.42%,47.17%,True,2,SAFE_FALLBACK_REAL_SET,30.00%
54,25,0,120.16%,46.30%,True,1,SAFE_FALLBACK_REAL_SET,30.00%
55,25,100,125.24%,47.27%,True,0,MidRtpSet_21,56.06%
56,25,50,126.58%,48.21%,False,0,MidRtpSet_27,77.39%
57,25,10,125.06%,49.12%,False,0,HighRtpSet_42,57.75%
58,25,0.2,122.92%,50.00%,False,0,HighRtpSet_36,52.04%
59,25,0,120.83%,49.15%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
60,25,0,118.82%,48.33%,False,0,HighRtpSet_47,49.95%
61,25,0,116.87%,47.54%,False,0,MidRtpSet_20,51.37%
62,25,0,114.99%,46.77%,False,0,HighRtpSet_40,59.46%
63,25,0,113.16%,46.03%,False,0,HighRtpSet_46,91.01%
64,25,0,111.39%,45.31%,False,0,MidRtpSet_18,54.10%
65,25,7.5,110.14%,46.15%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
66,25,0,108.47%,45.45%,False,0,SAFE_FALLBACK_REAL_SET,30.00%
67,25,0.2,106.87%,46.27%,False,0,HighRtpSet_46,88.42%
68,25,0,105.29%,45.59%,False,0,HighRtpSet_45,55.51%
69,25,0,103.77%,44.93%,False,0,HighRtpSet_38,86.56%
