SpinNumber,BetAmount,SpinWin,ActualRTP,HitRate,IsFreeSpin,FreeSpinsRemaining
1,25,0.5,2.00%,100.00%,False,0
2,25,5.2,11.40%,100.00%,False,0
3,25,1.5,9.60%,100.00%,False,0
4,25,50,57.20%,100.00%,False,0
5,25,0,45.76%,80.00%,False,0
6,25,1.5,39.13%,83.33%,False,0
7,25,50,62.11%,85.71%,False,0
8,25,0,54.35%,75.00%,False,0
9,25,0,48.31%,66.67%,False,0
10,25,11.5,48.08%,70.00%,False,0
11,25,100,80.07%,72.73%,False,10
12,25,0,73.40%,66.67%,True,9
13,25,0,67.75%,61.54%,True,8
14,25,0,62.91%,57.14%,True,7
15,25,0,58.72%,53.33%,True,6
16,25,0,55.05%,50.00%,True,5
17,25,19.5,56.40%,52.94%,True,4
18,25,0,53.27%,50.00%,True,3
19,25,15,53.62%,52.63%,True,2
20,25,50,60.94%,55.00%,True,1
21,25,0,58.04%,52.38%,True,0
22,25,100,73.58%,54.55%,False,10
23,25,15,72.99%,56.52%,True,9
24,25,0,69.95%,54.17%,True,8
25,25,4.5,67.87%,56.00%,True,7
26,25,0,65.26%,53.85%,True,6
27,25,0,62.84%,51.85%,True,5
28,25,4.5,61.24%,53.57%,True,4
29,25,0,59.13%,51.72%,True,3
30,25,1.5,57.36%,53.33%,True,2
31,25,0,55.51%,51.61%,True,1
32,25,0,53.77%,50.00%,True,0
33,25,0,52.15%,48.48%,False,0
34,25,10,51.79%,50.00%,False,0
35,25,7.5,51.17%,51.43%,False,0
36,25,5,50.30%,52.78%,False,0
37,25,0.2,48.96%,54.05%,False,0
38,25,10,48.73%,55.26%,False,0
39,25,5,47.99%,56.41%,False,0
40,25,51.5,51.94%,57.50%,False,0
41,25,0,50.67%,56.10%,False,0
42,25,50,54.23%,57.14%,False,0
43,25,55,58.08%,58.14%,False,0
44,25,50,61.31%,59.09%,False,0
45,25,0,59.95%,57.78%,False,0
46,25,0,58.64%,56.52%,False,0
47,25,0.2,57.41%,57.45%,False,0
48,25,100,64.55%,58.33%,False,10
49,25,0,63.23%,57.14%,True,9
50,25,0,61.97%,56.00%,True,8
51,25,15,61.93%,56.86%,True,7
52,25,0,60.74%,55.77%,True,6
53,25,0,59.59%,54.72%,True,5
54,25,0,58.49%,53.70%,True,4
55,25,0,57.43%,52.73%,True,3
56,25,0.6000000000000001,56.44%,53.57%,True,2
57,25,0,55.45%,52.63%,True,1
58,25,0,54.50%,51.72%,True,0
59,25,0,53.57%,50.85%,False,0
60,25,0,52.68%,50.00%,False,0
61,25,50,55.10%,50.82%,False,0
62,25,0,54.21%,50.00%,False,0
63,25,50,56.52%,50.79%,False,0
64,25,0,55.64%,50.00%,False,0
65,25,5.5,55.12%,50.77%,False,0
66,25,0,54.28%,50.00%,False,0
67,25,50,56.46%,50.75%,False,0
68,25,10.5,56.25%,51.47%,False,0
69,25,0,55.43%,50.72%,False,0
70,25,0,54.64%,50.00%,False,0
71,25,1.5,53.95%,50.70%,False,0
72,25,0,53.21%,50.00%,False,0
73,25,100,57.96%,50.68%,False,10
74,25,4.5,57.42%,51.35%,True,9
75,25,100,61.98%,52.00%,True,8
76,25,0,61.17%,51.32%,True,7
77,25,0,60.37%,50.65%,True,6
78,25,0,59.60%,50.00%,True,5
79,25,15,59.61%,50.63%,True,4
80,25,0,58.86%,50.00%,True,3
81,25,1.5,58.21%,50.62%,True,2
82,25,0,57.50%,50.00%,True,1
83,25,0,56.80%,49.40%,True,0
84,25,100,60.89%,50.00%,False,10
85,25,0,60.17%,49.41%,True,9
86,25,50,61.80%,50.00%,True,8
87,25,0,61.09%,49.43%,True,7
88,25,15,61.08%,50.00%,True,6
89,25,0,60.39%,49.44%,True,5
